school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,OTHERS,STUDENTS' COUNCIL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,HOCKEY (GIRLS)
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,NETBALL (GIRLS)
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SOFTBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SWIMMING,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,CHINESE ORCHESTRA
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,SYMPHONIC BAND
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,DRAMA
