school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
ADMIRALTY SECONDARY SCHOOL,STEM,Design Thinking Through Innovation and Technology,Community & Youth Leadership,Nurturing Mindful Leaders through Community Outreach,na,na
AHMAD IBRAHIM SECONDARY SCHOOL,Languages & Humanities,Critical Social Inquiry and Media Literacy,Sports & Outdoor Education,Character Development through Outdoor Learning Experience (OLE),na,na
ANG MO KIO SECONDARY SCHOOL,STEM,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,na,na
ANGLO-CHINESE SCHOOL (BARKER ROAD),Languages & Humanities,"Developing Effective Communicators through Drama, Debates and Public Speaking",Sports & Outdoor Education,"Building Character through Sports (Basketball, Rugby, Tennis and Water Polo) & Outdoor Education",na,na
ASSUMPTION ENGLISH SCHOOL,Languages & Humanities,Speak English with grAce and Knowledge (SPEAK),Community & Youth Leadership,Community and Youth Leadership,na,na
BARTLEY SECONDARY SCHOOL,STEM,Chemical and Life Sciences (Perfumery),Community & Youth Leadership,i-LEAD @ Bartley (Leadership Experience and Development),na,na
BEATTY SECONDARY SCHOOL,STEM,Beattyians Think. Create. Innovate,Community & Youth Leadership,Beatty's Leaders for Life Programme,na,na
BEDOK GREEN SECONDARY SCHOOL,STEM,ilnquire. ilnnovate. Developing scientific thinking and inquiry skills through real-life applications,Music & Performing Arts,PAssion Programme,na,na
BEDOK SOUTH SECONDARY SCHOOL,Interdisciplinary,Project S.H.I.N.E -- An Integrated Student-Centred and Holistic Programme that Develops Innovation and Nurtures Empathy,Sports & Outdoor Education,SHAPE @ BDS: A School of Healthy And Physically Educated Enthusiasts,na,na
BEDOK VIEW SECONDARY SCHOOL,Languages & Humanities,Global Awareness for the 21st Century @ BV,Community & Youth Leadership,Good Values @ BV,na,na
BENDEMEER SECONDARY SCHOOL,STEM,Making Health Science Alive through Authentic Problem-Based Learning,Community & Youth Leadership,Developing Student Leadership Through Service Learning,na,na
BOON LAY SECONDARY SCHOOL,STEM,Exploring Possibilities in Materials Science,Music & Performing Arts,Music & Performing Arts,na,na
