word,n
nurture,113
character,71
nurturing,66
learners,54
learning,53
community,51
values,51
students,49
school,45
develop,43
potential,43
education,42
serve,41
citizens,40
future,40
leaders,37
minds,35
environment,34
pupils,33
passion,31
learn,30
child,29
holistic,27
lives,26
provide,26
caring,25
hearts,25
lead,25
nation,25
life,24
excellence,23
individuals,23
inspiring,22
god,21
love,21
ready,20
society,20
confident,19
integrity,19
committed,18
inspire,18
responsible,18
empowering,17
challenges,16
build,15
persons,15
talents,15
developing,14
empower,14
fullest,14
providing,14
care,13
centred,13
contribute,13
creative,13
engaging,13
skills,13
christ,12
christian,12
moral,12
passionate,12
service,12
truth,12
disadvantaged,11
freedom,11
global,11
justice,11
prepare,11
promotion,11
reference,11
special,11
vibrant,11
building,10
compassionate,10
directed,10
grow,10
lifelong,10
mission,10
sound,10
spirit,10
thinkers,10
world,10
anchored,9
enabling,9
family,9
individual,9
innovative,9
purpose,9
upright,9
active,8
holistically,8
live,8
nurtures,8
opportunities,8
person,8
strong,8
student,8
concerned,7
create,7
culture,7
