word,n
learners,88
leaders,72
school,67
community,64
character,45
caring,44
learning,43
citizens,38
excellence,33
leader,33
learner,31
future,29
life,28
confident,27
values,26
passionate,23
vibrant,23
serve,22
gracious,21
heart,20
lead,20
ready,20
thinkers,20
god,19
passion,19
citizen,16
global,16
service,14
dynamic,13
lifelong,13
women,13
active,12
creative,12
minds,12
student,12
child,11
choice,11
engaged,11
hearts,11
pupils,11
students,11
institution,10
integrity,10
learn,10
love,10
rooted,10
tomorrow,10
education,9
innovative,9
resilient,9
thinker,9
world,9
compassionate,8
gentleman,8
leading,8
nation,8
responsible,8
society,8
distinction,7
excel,7
scholar,7
spirit,7
care,6
champions,6
change,6
compassion,6
contribute,6
directed,6
inspires,6
inspiring,6
nurtures,6
nurturing,6
quality,6
scholars,6
servant,6
anchored,5
critical,5
culture,5
difference,5
driven,5
empowered,5
environment,5
family,5
grace,5
grow,5
holistic,5
individuals,5
outlook,5
premier,5
serving,5
talents,5
thinking,5
vision,5
achievers,4
bring,4
centred,4
champion,4
concerned,4
contributing,4
girls,4
