,Express,Normal (Academic),Normal (Technical),school,Integrated Programme.affliated,Integrated Programme.non-affliated,Express.affliated,Express.non-affliated,Normal (Academic).affliated,Normal (Academic).non-affliated,Normal (Technical).affliated,Normal (Technical).non-affliated
0,203 - 231,168 - 197,132 - 157,admiralty-secondary-school,,,,,,,,
1,224 - 239,177 - 196,131 - 156,ahmad-ibrahim-secondary-school,,,,,,,,
2,245 - 260,188 - 199,140 - 157,anderson-secondary-school,,,,,,,,
3,229 - 242,170 - 199,130 - 153,ang-mo-kio-secondary-school,,,,,,,,
4,241 - 259, - , - ,anglican-high-school,,,,,,,,
5,,,,anglo-chinese-school-independent-secondary, - ,256 - 274,235 - 255,252 - 255, - , - , - , - 
6,188 - 244,152 - 186,105 - 151,assumption-english-school,,,,,,,,
7,188 - 252,155 - 192,100 - 149,bartley-secondary-school,,,,,,,,
8,217 - 237,152 - 195,124 - 158,beatty-secondary-school,,,,,,,,
9,201 - 232,159 - 198,132 - 154,bedok-green-secondary-school,,,,,,,,
10,218 - 240,164 - 191, - ,bedok-view-secondary-school,,,,,,,,
11,188 - 257,152 - 187,136 - 153,bendemeer-secondary-school,,,,,,,,
12,188 - 268,152 - 187,106 - 150,boon-lay-secondary-school,,,,,,,,
13,226 - 244,175 - 199,139 - 159,bowen-secondary-school,,,,,,,,
14,188 - 253,152 - 191,91 - 148,broadrick-secondary-school,,,,,,,,
15,229 - 241,177 - 198,135 - 153,bukit-batok-secondary-school,,,,,,,,
16,188 - 249,152 - 186,117 - 157,bukit-merah-secondary-school,,,,,,,,
17,244 - 260,187 - 199,145 - 159,bukit-panjang-govt-high-school,,,,,,,,
18,213 - 238,152 - 199, - ,bukit-view-secondary-school,,,,,,,,
19,,,,chij-katong-convent,,,203 - 247,229 - 237,153 - 199,158 - 199,113 - 150,111 - 156
20,,,,chij-st-josephs-convent,,,200 - 248,237 - 246,162 - 199,187 - 196,119 - 151,139 - 153
21,,,,chij-st-theresas-convent,,,200 - 242,238 - 243,154 - 199,184 - 198,117 - 151,110 - 159
22,191 - 241,165 - 197,108 - 157,canberra-secondary-school,,,,,,,,
23,,,,catholic-high-school-secondary, - ,252 - 274,240 - 253,249 - 259, - , - , - , - 
24,188 - 246,152 - 185, - ,changkat-changi-secondary-school,,,,,,,,
25,207 - 235,170 - 199,122 - 156,christ-church-secondary-school,,,,,,,,
26,244 - 269, - , - ,chung-cheng-high-school-main,,,,,,,,
27,241 - 259,185 - 199,142 - 157,chung-cheng-high-school-yishun,,,,,,,,
28,235 - 246,178 - 199,120 - 156,clementi-town-secondary-school,,,,,,,,
29,239 - 247,180 - 199,114 - 158,commonwealth-secondary-school,,,,,,,,
30,215 - 239,176 - 197,139 - 157,compassvale-secondary-school,,,,,,,,
31,243 - 255, - , - ,crescent-girls-school,,,,,,,,
32,222 - 242,166 - 199,127 - 156,deyi-secondary-school,,,,,,,,
33,188 - 246,153 - 191,117 - 151,dunearn-secondary-school,,,,,,,,
34,255 - 280, - , - ,dunman-high-school-secondary,,,,,,,,
35,232 - 251,183 - 199,140 - 155,dunman-secondary-school,,,,,,,,
36,188 - 227,157 - 191,109 - 153,east-spring-secondary-school,,,,,,,,
37,230 - 259,186 - 199,148 - 159,edgefield-secondary-school,,,,,,,,
38,229 - 248,179 - 199,138 - 159,evergreen-secondary-school,,,,,,,,
39,,,,fairfield-methodist-school-secondary,,,200 - 260,243 - 251,171 - 199,187 - 199,139 - 157,97 - 158
40,188 - 242,152 - 187,94 - 156,fajar-secondary-school,,,,,,,,
41,188 - 236,152 - 193,108 - 148,fuchun-secondary-school,,,,,,,,
42,236 - 254,176 - 199,105 - 159,fuhua-secondary-school,,,,,,,,
43,227 - 249,179 - 199,141 - 157,gan-eng-seng-school,,,,,,,,
44,,,,geylang-methodist-school-secondary,,,197 - 235,231 - 253,153 - 192,181 - 199,114 - 152,143 - 159
45,213 - 238,180 - 199,143 - 158,greendale-secondary-school,,,,,,,,
46,193 - 229,156 - 189,108 - 154,greenridge-secondary-school,,,,,,,,
47,192 - 225,152 - 196,105 - 151,guangyang-secondary-school,,,,,,,,
48,225 - 241,172 - 199,119 - 158,hai-sing-catholic-school,,,,,,,,
49,211 - 242,166 - 198,123 - 158,hillgrove-secondary-school,,,,,,,,
50,,,,holy-innocents-high-school,,,188 - 244,232 - 244,154 - 187,181 - 198,120 - 151,131 - 157
51,205 - 225,165 - 193,129 - 156,hougang-secondary-school,,,,,,,,
52,227 - 242,182 - 199,144 - 156,hua-yi-secondary-school,,,,,,,,
53,257 - 279, - , - ,hwa-chong-institution-secondary,,,,,,,,
